,School,Division
0,Blanco,3A
1,San Antonio Gervin Academy,3A
2,Universal City Randolph,3A
3,San Antonio Cole,3A
4,Comfort,3A
5,Stockdale,3A
6,Dilley,3A
7,Lytle,3A
8,Natalia,3A
9,Brookshire Royal,4A
10,Boerne,4A
11,Canyon Lake,4A
12,Wimberley,4A
13,Bandera,4A
14,Hondo,4A
15,Crystal City,4A
16,Devine,4A
17,Pleasanton,4A
18,La Vernia,4A
19,San Antonio Brooks Academy,4A
20,Cuero,4A
21,Beeville Jones,4A
22,Austin Brentwood Christian,4A
23,Round Rock Concordia,4A
24,Austin Crockett,5A
25,Austin Lanier,5A
26,Lockhart,5A
27,San Antonio Wagner,5A
28,San Antonio Harlandale,5A
29,Seguin,5A
30,Boerne Champion,5A
31,San Antonio McCollum,5A
32,San Antonio Memorial,5A
33,San Antonio Veterans Memorial,5A
34,San Antonio Kennedy,5A
35,Kerrville Tivy,5A
36,San Antonio Jefferson,5A
37,San Antonio Alamo Heights,5A
38,San Antonio Lanier,5A
39,San Antonio Highlands,5A
40,San Antonio Fox Tech,5A
41,San Antonio Edison,5A
42,San Antonio Brackenridge,5A
43,San Antonio Burbank,5A
44,San Antonio Sam Houston,5A
45,Uvalde,5A
46,Somerset,5A
47,San Antonio Harlan,5A
48,Floresville,5A
49,Medina Valley,5A
50,San Antonio Southwest,5A
51,San Antonio Southwest Legacy,5A
52,Corpus Christi Flour Bluff,5A
53,Laredo Martin,5A
54,Victoria East,5A
55,Edcouch-Elsa,5A
56,Austin Westlake,6A
57,Austin SFA,6A
58,Austin Akins,6A
59,New Braunfels,6A
60,San Antonio East Central,6A
61,San Marcos,6A
62,Smithson Valley,6A
63,Converse Judson,6A
64,Cibolo Steele,6A
65,Schertz Clemens,6A
66,New Braunfels Canyon,6A
67,San Antonio Roosevelt,6A
68,San Antonio Johnson,6A
69,South San Antonio,6A
70,San Antonio Churchill,6A
71,San Antonio Reagan,6A
72,San Antonio Madison,6A
73,San Antonio LEE,6A
74,San Antonio MacArthur,6A
75,San Antonio Jay,6A
76,San Antonio Warren,6A
77,San Antonio Brandeis,6A
78,San Antonio Taft,6A
79,San Antonio O'Connor,6A
80,San Antonio Clark,6A
81,San Antonio Brennan,6A
82,San Antonio Marshall,6A
83,San Antonio Stevens,6A
84,San Antonio Holmes,6A
85,Laredo United South,6A
86,Laredo United,6A
87,Laredo Nixon,6A
88,Del Rio,6A
89,Eagle Pass,6A
90,McAllen Memorial,6A
91,Edinburg North,6A
92,Donna North,6A
93,Richardson Pearce,6A
94,Austin St. Dominic Savio,6A
95,San Antonio Saint Mary's Hall,6A
96,San Antonio Antonian,6A
97,San Antonio Central Catholic,6A
98,Tomball Concordia Lutheran ,6A
99,Houston St. Pius X ,6A
100,Katy St. John XXIII,6A
101,Blanco,Other
102,Brookshire Royal,Other
103,Austin Crockett,Other
104,Austin Lanier,Other
105,Lockhart,Other
106,San Antonio Gervin Academy,Other
107,Universal City Randolph,Other
108,San Antonio Cole,Other
109,Comfort,Other
110,San Antonio Wagner,Other
111,San Antonio Harlandale,Other
112,Seguin,Other
113,Boerne Champion,Other
114,San Antonio McCollum,Other
115,San Antonio Memorial,Other
116,San Antonio Veterans Memorial,Other
117,San Antonio Kennedy,Other
118,Kerrville Tivy,Other
119,Harper,Other
120,Stockdale,Other
121,San Antonio Jefferson,Other
122,San Antonio Alamo Heights,Other
123,San Antonio Lanier,Other
124,San Antonio Highlands,Other
125,San Antonio Fox Tech,Other
126,San Antonio Edison,Other
127,San Antonio Brackenridge,Other
128,San Antonio Burbank,Other
129,San Antonio Sam Houston,Other
130,Sabinal,Other
131,San Antonio Milton Lee Academy,Other
132,San Antonio Stacey,Other
133,Boerne,Other
134,Canyon Lake,Other
135,Wimberley,Other
136,Bandera,Other
137,Uvalde,Other
138,Somerset,Other
139,San Antonio Harlan,Other
140,Floresville,Other
141,Medina Valley,Other
142,San Antonio Southwest,Other
143,San Antonio Southwest Legacy,Other
144,Hondo,Other
145,Crystal City,Other
146,Devine,Other
147,Corpus Christi Flour Bluff,Other
148,Laredo Martin,Other
149,Dilley,Other
150,Lytle,Other
151,Natalia,Other
152,Pleasanton,Other
153,La Vernia,Other
154,San Antonio Brooks Academy,Other
155,Cuero,Other
156,Victoria East,Other
157,Beeville Jones,Other
158,Utopia,Other
159,Knippa,Other
160,Edcouch-Elsa,Other
161,San Antonio Cornerstone,Other
162,San Antonio St. Anthony,Other
163,San Antonio FEAST,Other
164,Episcopal ,Other
165,Austin Brentwood Christian,Other
166,Round Rock Concordia,Other
